Field Name,Field Alias,Domain Type,Domain Name,Option Name,Option Code,Min Value,Max Value
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Acre,acre,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Hectare,hectare,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Centimeter,squareCentimeter,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Decameter,squareDecameter,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Decimeter,squareDecimeter,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Foot,squareFoot,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Inch,squareInch,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Kilometer,squareKilometer,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Meter,squareMeter,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Millimeter,squareMillimeter,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Nautical Mile,squareNauticalMile,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Statue Mile,squareStatuteMile,,
areaSizeUom,Area Size UOM,CodedValue,GsipAreaUom,Square Yard,squareYard,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Boarded Up,boardedUp,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Broken and Unusable,brokenNoUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Burnt and Unusable,burntNoUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Burnt, but Usable",burntUsable,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Condemned,condemned,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Cracked,cracked,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Damaged,damaged,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Heavy Damage, Unusable",damageHevNo,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Heavy Damage, but Usable",damageHevUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Light Damage, Unusable",damageLitNo,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Light Damage, but Usable",damageLitUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Moderate Damage, Unusable",damageModNo,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Moderate Damage, but Usable",damageModUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Dangerous,dangerous,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Fair,fair,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Estimated in Fair Condition,fairEstimated,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Good,good,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Estimated in Good Condition,goodEstimated,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,"Good, but Not New",goodNotNew,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Habitable,habitable,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Not Habitable,habitableNo,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,For Minor Use,minorUse,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Newly Built,newlyBuilt,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,New and Unfinished,newUnfinish,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,No Trespassing,noTrespassing,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Other,other,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Poor,poor,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Estimated in Poor Condition,poorEstimated,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Quarantined,quarantined,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Radioactive,radioactive,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,To Be Determined,tbd,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Under Construction,underConstruction,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Unserviceable,unservicable,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Usable,usable,,
buildingCondition,Building Condition,CodedValue,StructuralCondition,Not Usable,usableNo,,
buildingConditionIndex,Building Condition Index,Range,SmsConditionIndex,,,-1,100
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Child Development Centers,childDevelopmentCenters,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Fitness Centers,fitnessCenters,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 1 and 2,level1and2,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 1 and 3,level1and3,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 1 Prestige,level1Prestige,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 2 And 3,level2And3,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 2 Basic,level2Basic,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Level 3 Academics,level3Academics,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Medical Group,medicalGroup,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,Other,other,,
buildingCustodialType,Building Custodial Type,CodedValue,CustodialType,School Age Program,schoolAgeProgram,,
