areaSizeUom,buildingCondition,buildingConditionIndex,buildingCustodialType,buildingOpStatus,country,dataCollection,elevationUom,facilityConditionCode,facilityGrossSqFtUom,flexFieldYn,hasGiantVoice,hasMassNotificationDevice,heightMaxUom,installationId,installationName,isHeritageAsset,isRealProperty,majorCommand,missionDependencyIndex,owner,perimeterSizeUom,roadPostDirectional,roadPrefixDirectional,rpInterest,rpaConstructionType,rpaType,rpsuid,siteId,stateName,verticalDatumType,visitorMapName
acre,boardedUp,-1 to 100,childDevelopmentCenters,abandoned,abw,attrOnly,astronomicUnit,1usableclassA,acre,yes,yes,yes,astronomicUnit,aawz,abeLincolnCapitalArptAgs,yes,yes,acc,-1 to 100,afr,astronomicUnit,e,e,ease,perm,b,1185,aawz0001,aa,adriaticLevel,autoSkillsCenter
hectare,brokenNoUse,,fitnessCenters,closed,afg,cadAsBuilt,centimetre,2usableclassB,hectare,no,no,no,centimetre,abaa,abstonAngs,no,no,aetc,,airNationalGuard,centimetre,n,n,fee,relo,l,1186,abaa0001,ae,alwp,bank
squareCentimeter,burntNoUse,,level1and2,damaged,ago,cadDesign,dataMile,3forcedUse,squareCentimeter,tbd,tbd,tbd,dataMile,acjp,accAmic,tbd,tbd,afdw,,armyNationalGuard,dataMile,ne,ne,gvpv,semi,ls,1199,abqb0001,ak,alwrp,bx
squareDecameter,burntUsable,,level1and3,inService,aia,calculated,decafoot,4sterile,squareDecameter,,,,decafoot,aedy,afPlant42,,,afgsc,,county,decafoot,nw,nw,leas,tbd,s,1344,acbf0001,al,balticDatum,childDevelopmentCenter
squareDecimeter,condemned,,level1Prestige,notInService,alb,cogo,decakilometre,5committedtoCongress,squareDecimeter,,,,decakilometre,aggn,afrlMesa,,,afmc,,federalGSA,decakilometre,s,s,less,temp,,1345,acbf0002,ap,btlwrp,combinedSchools
squareFoot,cracked,,level2And3,other,and,digitizedAerial,decametre,6disposalApproved,squareFoot,,,,decametre,ajjy,alpenaCountyRegionalArptAngb,,,afrc,,federalOther,decametre,se,se,mhpi,,,1346,acfj0001,ar,cairo,commissary
squareInch,damaged,,level2Basic,programmed,are,digitizedMap,decifoot,,squareInch,,,,decifoot,ajka,altusAfb,,,afsoc,,hostNation,decifoot,sw,sw,na,,,1347,acfl0001,as,dhq,craftsCenter
squareKilometer,damageHevNo,,level3Academics,proposed,arg,digitizedSatellite,decimetre,,squareKilometer,,,,decimetre,ajke,andersenAfb,,,amc,,leased,decimetre,tbd,tbd,onfa,,,1348,acha0001,az,dlq,elementarySchool
squareMeter,damageHevUse,,medicalGroup,proposedAbandoned,arm,georeferencedCadFile,deciNauticalMile,,squareMeter,,,,deciNauticalMile,ajxf,arkabutlaLakeAngTrainingAnnex,,,ang,,nonFederalNato,deciNauticalMile,w,w,onfg,,,1349,achq0001,ca,drlwrlOlr,gasStation
squareMillimeter,damageLitNo,,other,proposedRemoved,asm,gpsMulti,fathom,,squareMillimeter,,,,fathom,anjd,arnoldAfb,,,other,,nonFederalOtherNonNato,fathom,,,onst,,,1350,acjp0001,co,dtl,gym
squareNauticalMile,damageLitUse,,schoolAgeProgram,removed,ata,gpsResource,halfFoot,,squareNauticalMile,,,,halfFoot,anyg,atlanticCityIApAgs,,,pacaf,,other,halfFoot,,,pdom,,,1351,acjp0002,ct,ehwDglw,highSchool
squareStatuteMile,damageModNo,,youthCenters,tbd,atf,gpsSurvey,halfHectometre,,squareStatuteMile,,,,halfHectometre,anzy,avianoAb,,,spoc,,ppv,halfHectometre,,,priv,,,1352,acrp0001,dc,gclwd,hobbyCenter
squareYard,damageModUse,,,temporary,atg,imagery,halfMetre,,squareYard,,,,halfMetre,aqrc,bangorIApAgs,,,usafa,,private,halfMetre,,,tbd,,,1353,addq0001,de,gt,hospital
,dangerous,,,underConstruction,aus,imageryHeadsUpDigitized,hectofoot,,,,,,hectofoot,ashe,barkingSandsNavalCommStationAng,,,usafe,,state,hectofoot,,,,,,1354,aded0001,es,hshwDhsw,laundromat
,fair,,,underRepair,aut,imageryHeadsupDigitizedMappingGradeGpsFieldVerification,hectokilometre,,,,,,hectokilometre,atqz,barksdaleAfb,,,ssc,,tbd,hectokilometre,,,,,,1355,aebr0001,fl,hshwDonau,medicalClinic
,fairEstimated,,,unknown,ax2,imageryHeadsupDigitizedSurveyedFieldVerification,hectometre,,,,,,hectometre,awub,barnesMApAgs,,,starcom,,usa,hectometre,,,,,,1356,aedc0001,fm,hwi,middleSchool
,good,,,,aze,imageryStereoPhotoInterpretation,inch,,,,,,inch,axqd,bealeAfb,,,,,usace,inch,,,,,,1357,aedy0001,ga,igld55,other
,goodEstimated,,,,bdi,imageryStereoPhotoInterpretationMappingGradeGPSFieldVerification,internationalFoot,,,,,,internationalFoot,baal,bergstromAfb,,,,,usaf,internationalFoot,,,,,,1359,aggn0001,gu,igld85,outdoorRecreationCenter
