Area Size UOM (areaSizeUom),Building Condition (buildingCondition),Building Condition Index (buildingConditionIndex),Building Custodial Type (buildingCustodialType),Building Op Status (buildingOpStatus),Country (country),Data Collection (dataCollection),Elevation Unit of Measure (elevationUom),Facility Condition Code (facilityConditionCode),Facility Gross Sq Ft UOM (facilityGrossSqFtUom),Flex Field Boolean (flexFieldYn),Has Giant Voice (hasGiantVoice),has Mass Notification Device (hasMassNotificationDevice),Height Max Uom (heightMaxUom),Installation Identifier (installationId),Installation Name (installationName),Is Heritage Asset (isHeritageAsset),Is Real Property (isRealProperty),Major Command (majorCommand),Mission Dependency Index (missionDependencyIndex),Owner (owner),Perimeter Size UOM (perimeterSizeUom),Road Post Directional (roadPostDirectional),Road Prefix Directional (roadPrefixDirectional),Real Property Interest (rpInterest),RPA Construction Type (rpaConstructionType),Real Property Asset Type (rpaType),Real Property Site Unique Identifier (rpsuid),Site ID (siteId),State or Territory Name (stateName),Vertical Datum Type (verticalDatumType),Visitor Map Name (visitorMapName)
Acre (acre),Boarded Up (boardedUp),Range: -1 to 100,Child Development Centers (childDevelopmentCenters),Abandoned (abandoned),Aruba (AW) (abw),Attribute Survey Only (attrOnly),Astronomic Unit (astronomicUnit),Usable Class A (1usableclassA),Acre (acre),Yes (yes),Yes (yes),Yes (yes),Astronomic Unit (astronomicUnit),aawz - ACC AMIC (aawz),Abe Lincoln Capital Airport AGS (abeLincolnCapitalArptAgs),Yes (yes),Yes (yes),Air Combat Command (acc),Range: -1 to 100,US Air Force Reserve (afr),Astronomic Unit (astronomicUnit),East (e),East (e),Easement (ease),Permanent Facility (perm),B (b),1185 - Joint Base Charleston North Yard (1185),aawz0001 - ACC Amic Site #1 (aawz0001),AA (aa),Adriatic Level (adriaticLevel),Auto Skills Center (autoSkillsCenter)
Hectare (hectare),Broken and Unusable (brokenNoUse),,Fitness Centers (fitnessCenters),Closed (closed),Afghanistan (AF) (afg),CAD As Built (cadAsBuilt),Centimeter (centimetre),Usable Class B (2usableclassB),Hectare (hectare),No (no),No (no),No (no),Centimeter (centimetre),abaa - Abston ANGS (abaa),Abston ANGS (abstonAngs),No (no),No (no),Air Education and Training Command (aetc),,Air National Guard (airNationalGuard),Centimeter (centimetre),North (n),North (n),"U.S. Government-Owned Property,  DoD Accountability (fee)",Relocatable (relo),L (l),1186 - Joint Base Charleston Engineering Support (1186),abaa0001 - Abston ANG Station Site #1 (abaa0001),AE (ae),Average Low Water Plane (alwp),Bank (bank)
Square Centimeter (squareCentimeter),Burnt and Unusable (burntNoUse),,Level 1 and 2 (level1and2),Damaged (damaged),Angola (AO) (ago),CAD Design (cadDesign),Data Mile (dataMile),Forced Use (3forcedUse),Square Centimeter (squareCentimeter),To Be Determined (tbd),To Be Determined (tbd),To Be Determined (tbd),Data Mile (dataMile),acjp - Los Angeles AFB (acjp),ACC AMIC (accAmic),To Be Determined (tbd),To Be Determined (tbd),Air Force District of Washington (afdw),,Army National Guard (armyNationalGuard),Data Mile (dataMile),Northeast (ne),Northeast (ne),Government/Private Agreement (gvpv),Semi-permanent Facility (semi),LS (ls),1199 - Joint Base Charleston Rncfsu Det 3  (1199),abqb0001 - Adana Water System Annex Site #1 (abqb0001),AK (ak),ALWRP (alwrp),Base Exchange (bx)
Square Decameter (squareDecameter),"Burnt, but Usable (burntUsable)",,Level 1 and 3 (level1and3),In Service (inService),Anguilla (AI) (aia),Calculated (calculated),Decafoot (decafoot),Sterile (4sterile),Square Decameter (squareDecameter),,,,Decafoot (decafoot),aedy - RAF Alconbury (aedy),AF Plant 42 (afPlant42),,,Air Force Global Strike Command (afgsc),,US County (county),Decafoot (decafoot),Northwest (nw),Northwest (nw),Leasehold (leas),To Be Determined (tbd),S (s),1344 - Maxwell Air Force Base Gunther Annex Site #1 (1344),acbf0001 - St Louis Air Force Station Site #1 (acbf0001),AL (al),Baltic Datum (balticDatum),Child Development Center (childDevelopmentCenter)
Square Decimeter (squareDecimeter),Condemned (condemned),,Level 1 Prestige (level1Prestige),Not In Service (notInService),Albania (AL) (alb),COGO (cogo),Decakilometer (decakilometre),Committed to Congress (5committedtoCongress),Square Decimeter (squareDecimeter),,,,Decakilometer (decakilometre),aggn - Altus AFB (aggn),AF Research Laboratory Mesa (afrlMesa),,,Air Force Materiel Command (afmc),,Federal General Services Administration (federalGSA),Decakilometer (decakilometre),South (s),South (s),Lesser Interest as Defined by a Legal Instrument (less),Temporary Facility (temp),,1345 - Acc Amic Site #1 (1345),acbf0002 - Scott AFB National Geospatial Intelligence Agency (acbf0002),AP (ap),BTLWRP (btlwrp),Combined Schools (combinedSchools)
Square Foot (squareFoot),Cracked (cracked),,Level 2 And 3 (level2And3),Other (other),Andorra (AD) (and),Digitized Aerial (digitizedAerial),Decameter (decametre),Disposal Approved (6disposalApproved),Square Foot (squareFoot),,,,Decameter (decametre),ajjy - Andersen AFB (ajjy),Alpena County Regional Airport ANGB (alpenaCountyRegionalArptAngb),,,Air Force Reserve Command (afrc),,Other Federal Administration (federalOther),Decameter (decametre),Southeast (se),Southeast (se),Military Housing Privatization Initiative (mhpi),,,1346 - Abston ANG Station Site # 1 (1346),"acfj0001 - Air Force Plant 4, Site #1 (acfj0001)",AR (ar),CAIRO (cairo),Commissary (commissary)
Square Inch (squareInch),Damaged (damaged),,Level 2 Basic (level2Basic),Programmed (programmed),United Arab Emirates (AE) (are),Digitized Map (digitizedMap),Decifoot (decifoot),,Square Inch (squareInch),,,,Decifoot (decifoot),"ajka - Andersen AFB, Santa Rosa Parcel C (ajka)",Altus AFB (altusAfb),,,Air Force Special Operations Command (afsoc),,Host Nation (hostNation),Decifoot (decifoot),Southwest (sw),Southwest (sw),Not Applicable (na),,,1347 - Adana Water System Annex Site #1 (1347),"acfl0001 - Air Force Plant 6, Site #1 (acfl0001)",AS (as),Mean Diurnal High Water Inequality (dhq),Crafts Center (craftsCenter)
Square Kilometer (squareKilometer),"Heavy Damage, Unusable (damageHevNo)",,Level 3 Academics (level3Academics),Proposed (proposed),Argentina (AR) (arg),Digitized Satellite (digitizedSatellite),Decimeter (decimetre),,Square Kilometer (squareKilometer),,,,Decimeter (decimetre),"ajke - Andersen AFB, Barrigada (ajke)",Andersen AFB (andersenAfb),,,Air Mobility Command (amc),,Leased (leased),Decimeter (decimetre),To Be Determined (tbd),To Be Determined (tbd),"U.S. Government-Owned Property,  Non-DoD Accountability (onfa)",,,1348 - St Louis Air Force Station Site 1 (1348),"acha0001 - Air Force Plant 44, Site #1 (acha0001)",AZ (az),Mean Diurnal Low Water Inequality (dlq),Elementary School (elementarySchool)
Square Meter (squareMeter),"Heavy Damage, but Usable (damageHevUse)",,Medical Group (medicalGroup),Proposed Abandoned (proposedAbandoned),Armenia (AM) (arm),Georeferenced CAD File (georeferencedCadFile),Deci-Nautical Mile (deciNauticalMile),,Square Meter (squareMeter),,,,Deci-Nautical Mile (deciNauticalMile),ajxf - JB Andrews (ajxf),Arkabutla Lake ANG Training Annex (arkabutlaLakeAngTrainingAnnex),,,Air National Guard (ang),,"NATO, Non-Federal (nonFederalNato)",Deci-Nautical Mile (deciNauticalMile),West (w),West (w),Owned by Foreign Government (onfg),,,1349 - Air Force Plant 4 Site #1 (1349),"achq0001 - Air Force Plant#59, Site #1 (achq0001)",CA (ca),Dutch River Low Water Reference Level (OLR) (drlwrlOlr),Gas Station (gasStation)
Square Millimeter (squareMillimeter),"Light Damage, Unusable (damageLitNo)",,Other (other),Proposed Removed (proposedRemoved),American Samoa (AS) (asm),GPS Multi (gpsMulti),Fathom (fathom),,Square Millimeter (squareMillimeter),,,,Fathom (fathom),anjd - Arkabutla Lake ANG Training Annex (anjd),Arnold AFB (arnoldAfb),,,Other (other),,Other Non-Federal Non-NATO (nonFederalOtherNonNato),Fathom (fathom),,,Owned by State or Local Government (onst),,,1350 - Air Force Plant 6 Site #1  (1350),acjp0001 - Los Angeles Air Force Base Site #1 (acjp0001),CO (co),Diurnal Tide Level (dtl),Gym (gym)
Square Nautical Mile (squareNauticalMile),"Light Damage, but Usable (damageLitUse)",,School Age Program (schoolAgeProgram),Removed (removed),Antarctica (AQ) (ata),GPS Resource (gpsResource),Half Foot (halfFoot),,Square Nautical Mile (squareNauticalMile),,,,Half Foot (halfFoot),anyg - AF Research Laboratory Mesa (BRAC) (anyg),Atlantic City International Airport AGS (atlanticCityIApAgs),,,Pacific Air Forces (pacaf),,Other (other),Half Foot (halfFoot),,,"U.S. Government-Owned Land, Public Domain (pdom)",,,1351 - Air Force Plant 44  Site #1  (1351),acjp0002 - General Services Administration #2 (acjp0002),CT (ct),Equivalent Height of Water (German GlW) (ehwDglw),High School (highSchool)
Square Statue Mile (squareStatuteMile),"Moderate Damage, Unusable (damageModNo)",,Youth Centers (youthCenters),To Be Determined (tbd),French Southern and Antarctic Lands (TF) (atf),GPS Survey (gpsSurvey),Half Hectometer (halfHectometre),,Square Statue Mile (squareStatuteMile),,,,Half Hectometer (halfHectometre),anzy - Arnold AFB (anzy),Aviano AB (avianoAb),,,Space Operations Command (spoc),,Public-Private Venture (ppv),Half Hectometer (halfHectometre),,,Owned by Private Entity (priv),,,1352 - Air Force Plant No 59 Site #1 (1352),acrp0001 - Agualva Munitions Storage Annex Site #1 (acrp0001),DC (dc),Gulf Coast Low Water Datum (gclwd),Hobby Center (hobbyCenter)
Square Yard (squareYard),"Moderate Damage, but Usable (damageModUse)",,,Temporary (temporary),Antigua And Barbuda (AG) (atg),Imagery (imagery),Half Meter (halfMetre),,Square Yard (squareYard),,,,Half Meter (halfMetre),aqrc - Atlantic City International Airport AGS (aqrc),Bangor International Airport AGS (bangorIApAgs),,,United States Air Force Academy (usafa),,Private Entity (private),Half Meter (halfMetre),,,To Be Determined (tbd),,,1353 - Los ANGeles Air Force Base Site #1  (1353),addq0001 - Akasaka Administration Annex Site #1 (addq0001),DE (de),Great Diurnal Range (gt),Hospital (hospital)
