Field Name,Field Alias,Domain Name,Domain Description,Domain Type,Option Name,Option Code,Min Value,Max Value
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Acre,acre,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Hectare,hectare,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Centimeter,squareCentimeter,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Decameter,squareDecameter,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Decimeter,squareDecimeter,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Foot,squareFoot,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Inch,squareInch,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Kilometer,squareKilometer,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Meter,squareMeter,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Millimeter,squareMillimeter,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Nautical Mile,squareNauticalMile,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Statue Mile,squareStatuteMile,,
areaSizeUom,Area Size UOM,GsipAreaUom,The area unit of measure mandated in DoD IT Standards Registry (DISR).,CodedValue,Square Yard,squareYard,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Boarded Up,boardedUp,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Broken and Unusable,brokenNoUse,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Burnt and Unusable,burntNoUse,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Burnt, but Usable",burntUsable,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Condemned,condemned,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Cracked,cracked,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Damaged,damaged,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Heavy Damage, Unusable",damageHevNo,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Heavy Damage, but Usable",damageHevUse,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Light Damage, Unusable",damageLitNo,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Light Damage, but Usable",damageLitUse,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Moderate Damage, Unusable",damageModNo,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Moderate Damage, but Usable",damageModUse,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Dangerous,dangerous,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Fair,fair,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Estimated in Fair Condition,fairEstimated,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Good,good,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,Estimated in Good Condition,goodEstimated,,
buildingCondition,Building Condition,StructuralCondition,The structural condition and state of repair of a building or structure.,CodedValue,"Good, but Not New",goodNotNew,,
